Site,250m_16_days_EVI-0,250m_16_days_NDVI-0,Fpar_500m-0,Lai_500m-0,LST_Day_1km-0,LST_Night_1km-0,250m_16_days_EVI-1,250m_16_days_NDVI-1,Fpar_500m-1,Lai_500m-1,LST_Day_1km-1,LST_Night_1km-1,250m_16_days_EVI-2,250m_16_days_NDVI-2,Fpar_500m-2,Lai_500m-2,LST_Day_1km-2,LST_Night_1km-2,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,DATE,_classes
SWS46,-0.004900248,-0.056465184,-0.056924974,-0.266745051,5.179865565,-0.189615102,-0.010550809,-0.055921219,-0.077452936,-0.308564434,4.041180692,-0.591232309,-0.014725257,-0.068988537,-0.087647939,-0.340711058,5.524745191,0.112642618,34.578607,-103.336778,280,3,8/14/2020,0
RMG15,-0.006224341,-0.006007096,0.076707995,0.158744737,-13.27779168,-5.412022784,-0.014130149,-0.027392358,0.073275313,0.13895527,-16.12625651,-7.251825817,-0.00912065,-0.019790939,0.077482873,0.15989799,-13.70684567,-6.324307475,40.60870647,-105.8792104,208913,4,8/13/2020,1
SOL65,0.042446632,0.103539383,0.08284104,0.190548335,6.716132982,7.336586839,0.05207514,0.117661619,0.11602541,0.32828113,4.215921979,5.902684575,0.056717176,0.125115113,0.141069778,0.398624647,4.809982464,6.61453855,34.15672488,-117.9107121,4237,4,8/13/2020,1
NWL26,-0.10735077,-0.204664305,-0.195231234,-0.5644009,-2.18745924,-5.000839987,-0.114024502,-0.216605601,-0.192446552,-0.553892428,-5.212930806,-5.991341841,-0.112062214,-0.212378361,-0.191707949,-0.558103486,-2.337865125,-5.740863936,43.02134571,-118.2861133,3391,4,8/5/2020,1
RMG35,-0.039115033,-0.077172316,-0.072092533,-0.209883547,1.249504225,-2.004125007,-0.051489636,-0.104700332,-0.087681163,-0.230339262,-2.819887062,-3.412615824,-0.05292552,-0.107133089,-0.086200018,-0.231040366,-0.494649462,-2.764924704,41.00391626,-109.2723112,7632,4,8/3/2020,1
GBG62,-0.061759295,-0.12030992,-0.120427079,-0.305636761,4.693371122,-0.723516128,-0.071237169,-0.136579321,-0.120907626,-0.296832583,0.566883204,-2.290824692,-0.067926326,-0.130518114,-0.120443423,-0.304315943,3.640854888,-1.729296572,40.95442286,-114.3436122,7118.19,4,8/2/2020,1
NOG16,-0.1640444,-0.387735798,-0.301523477,-1.121853813,2.667958307,-5.206087986,-0.174151961,-0.406591234,-0.321195237,-1.152323972,1.391607914,-7.000337651,-0.168245936,-0.392549375,-0.316913459,-1.152728129,5.17319175,-5.575667483,39.83337529,-120.0382131,6882,4,8/2/2020,1
SWL43,-0.032941522,-0.05729118,-0.109917484,-0.4271697,9.032049359,6.512667219,-0.013526139,-0.023371729,-0.042914677,-0.307431513,4.995093736,4.858262603,-0.010918417,-0.019159244,-0.034872238,-0.275241428,6.267074581,5.56465008,33.54389521,-110.4198107,21428,4,8/1/2020,1
RMG13,-0.028758378,-0.047631127,-0.009400166,-0.041021758,1.358378859,1.332413617,-0.034812845,-0.064999429,-0.026743733,-0.061926037,-2.607561446,-0.684645132,-0.030010298,-0.056064814,-0.01910888,-0.059062324,-0.221989484,0.288139761,39.33621611,-108.5255109,139007,4,7/31/2020,1
NWC20,-0.017029583,-0.047873801,-0.041894767,-0.258081457,2.280527877,-0.509660627,-0.028850725,-0.078883903,-0.073862227,-0.313016014,-0.59789975,-2.723230214,-0.020803844,-0.06443862,-0.04233519,-0.246658244,0.507527559,-1.906183341,43.82751574,-118.7086135,98,2,7/30/2020,0
SOL33,0.094162457,0.067451858,-0.139166548,-0.486037806,11.27542125,-0.429108411,0.11361857,0.107614267,-0.069043163,-0.306356151,8.713251759,-0.803030165,0.114781365,0.110388371,-0.065333071,-0.312732257,9.542900752,-1.066077202,35.35148388,-120.0052416,3022,4,7/28/2020,1
NOES3,0.03228558,-0.012487367,-0.043932273,-0.27482554,5.888935303,3.50599874,0.02409173,-0.021589811,-0.071338154,-0.329594067,5.220589007,2.943915486,0.029180603,-0.016439646,-0.05787031,-0.291485398,6.64497074,3.317670132,40.171412,-122.237843,9,2,7/28/2020,0
NWB23,-0.021914913,-0.027898024,0.101760166,0.137222206,1.362673964,-2.116350627,-0.026227847,-0.05404937,0.059169067,0.039194784,-0.676901287,-3.516949361,-0.021763621,-0.032353654,0.09411518,0.102971,1.175016008,-2.235391075,42.72840542,-121.2401137,9.9,1,7/27/2020,0
NOES63,-0.147404882,-0.278760734,-0.31920374,-1.076106311,5.625060548,-2.51702744,-0.158161469,-0.297154476,-0.340963075,-1.109504234,4.275156055,-3.772105314,-0.149928311,-0.283291553,-0.324834318,-1.08937459,6.259438028,-2.985590642,40.40983832,-120.2963962,9.6,2,7/21/2020,0
NOG23,-0.111708598,-0.281357475,-0.179925046,-0.794485132,-1.427475948,-5.065394247,-0.119336905,-0.308122972,-0.216176534,-0.869940487,-3.12076785,-6.660197936,-0.110196203,-0.271640555,-0.190367516,-0.824915573,0.41830125,-5.44579918,41.06378834,-120.7615634,22634,4,7/20/2020,1
GBG33,-0.046690255,-0.094902987,-0.071948945,-0.18304387,4.760104045,-1.677077112,-0.053240837,-0.10589985,-0.076269821,-0.177894999,1.883446953,-3.258763937,-0.047392875,-0.09265593,-0.080565676,-0.209234154,5.443991909,-2.700322362,40.61750571,-115.7488125,5985.9,4,7/19/2020,1
NOG18,-0.078889502,-0.205322229,0.042050847,-0.078047844,-4.156937466,-5.544033584,-0.090846447,-0.246807381,-0.017807708,-0.300225807,-6.05858223,-7.66429046,-0.078275033,-0.214601059,0.020242228,-0.182102897,-3.591565898,-6.056629847,40.42088828,-120.8633803,9564,4,7/18/2020,1
RMD4,0.017127899,0.015601396,-0.008826133,-0.07870634,1.168218508,-0.720671372,0.01082433,-0.006294109,-0.023287232,-0.095206398,-3.449501375,-1.789787661,0.013405706,-0.001821611,-0.013528802,-0.074688799,-1.219550381,-1.573496477,39.88774619,-108.4422109,274,3,7/14/2020,0
